variant,seed,arm,use_case,auc,wss95,f2_star,floor_f2
induced_lex,2,blend,moran_2021,0.8295975975975977,0.21711214590608074,0.340852148076797,0.09914255091103961
induced_lex,2,catboost,muthu_2021,0.8172485029940121,0.3062337179010206,0.5739960649380882,0.41511309967685805
induced_lex,2,logreg,muthu_2021,0.8075818363273453,0.2822979779183821,0.5616706279509901,0.41511309967685805
induced_lex,2,blend,muthu_2021,0.8344780439121757,0.3074013149733443,0.5833280185669418,0.41511309967685805
induced_lex,2,catboost,nelson_2002,0.8634892086330935,0.45837988826815634,0.7749469214437367,0.5899705014749262
induced_lex,2,logreg,nelson_2002,0.8681429856115109,0.385754189944134,0.7407407407407407,0.5899705014749262
induced_lex,2,blend,nelson_2002,0.8846672661870504,0.46955307262569823,0.7961783439490446,0.5899705014749262
induced_lex,2,catboost,sep_2021,0.7269565217391305,0.06481481481481477,0.5576208178438662,0.46511627906976744
induced_lex,2,logreg,sep_2021,0.8103260869565216,0.20185185185185178,0.6395348837209303,0.46511627906976744
induced_lex,2,blend,sep_2021,0.7620652173913044,0.06481481481481477,0.588235294117647,0.46511627906976744
induced_lex,2,catboost,van_der_valk_2021,0.8733971697939152,0.4880281690140844,0.6338028169014085,0.41115311909262764
induced_lex,2,logreg,van_der_valk_2021,0.8109721222855668,0.3471830985915493,0.5604203152364273,0.41115311909262764
induced_lex,2,blend,van_der_valk_2021,0.8618660172321544,0.454225352112676,0.6261510128913444,0.41115311909262764
induced_lex,2,catboost,van_dis_2020,0.9457962962962962,0.7352943984485719,0.3861763993215411,0.03902016041621504
induced_lex,2,logreg,van_dis_2020,0.9315277777777777,0.5706316103528013,0.36188178528347403,0.03902016041621504
induced_lex,2,blend,van_dis_2020,0.9482962962962963,0.7511655105541883,0.41556570613271093,0.03902016041621504
supplied,0,logreg,brouwer_2019,0.9953440860215054,0.9324490254271276,0.5143489454456487,0.008233950436930596
supplied,0,catboost,brouwer_2019,0.9917849462365592,0.9311179023733768,0.5539395966885273,0.008233950436930596
supplied,0,blend,brouwer_2019,0.9950000000000001,0.9377735176421308,0.5388947269150971,0.008233950436930596
supplied,0,logreg,leenaars_2020,0.9244155092592592,0.6093279690061107,0.66933657589719,0.31946755407653904
supplied,0,catboost,leenaars_2020,0.936869212962963,0.6452853524064992,0.6830057934794956,0.31946755407653904
supplied,0,blend,leenaars_2020,0.940712962962963,0.6349247504097771,0.689623340763527,0.31946755407653904
supplied,0,logreg,moran_2021,0.6306186186186187,0.06969033760185601,0.1344567945500179,0.09914255091103961
supplied,0,catboost,moran_2021,0.8595975975975977,0.32213387660068943,0.41959465780335997,0.09914255091103961
supplied,0,blend,moran_2021,0.8368588588588588,0.2973461389212165,0.3495291993653765,0.09914255091103961
supplied,0,logreg,muthu_2021,0.8076447105788422,0.23617789356160346,0.5514386317343274,0.41511309967685805
supplied,0,catboost,muthu_2021,0.8229321357285428,0.3132393003349613,0.5736789108917539,0.41511309967685805
supplied,0,blend,muthu_2021,0.835558882235529,0.2968929413224331,0.5875743394534473,0.41511309967685805
supplied,0,logreg,nelson_2002,0.8679631294964028,0.45279329608938546,0.7330415754923414,0.5899705014749262
supplied,0,catboost,nelson_2002,0.8598920863309352,0.32150837988826814,0.7373737373737373,0.5899705014749262
supplied,0,blend,nelson_2002,0.8736061151079136,0.41927374301675974,0.7569296375266524,0.5899705014749262
supplied,0,logreg,sep_2021,0.7990760869565218,0.3018518518518518,0.5836575875486382,0.46511627906976744
supplied,0,catboost,sep_2021,0.7294565217391304,0.06481481481481477,0.549645390070922,0.46511627906976744
supplied,0,blend,sep_2021,0.7386956521739131,0.057407407407407365,0.5504587155963303,0.46511627906976744
supplied,0,logreg,van_der_valk_2021,0.8474659139130275,0.4133802816901408,0.6261022927689595,0.41115311909262764
supplied,0,catboost,van_der_valk_2021,0.8593199387465176,0.5077464788732394,0.642361111111111,0.41115311909262764
supplied,0,blend,van_der_valk_2021,0.8644674452500877,0.482394366197183,0.6572379367720466,0.41115311909262764
supplied,0,logreg,van_dis_2020,0.9287962962962963,0.6076642052659064,0.34026451120849693,0.03902016041621504
