variant,use_case,n_labels,recall_at_10pct,recall_at_20pct,wss_at_95,roc_auc,wss_ceiling
jasper: cosine-to-brief (0 labels),solar_leo,100,0.11956521739130435,0.21739130434782608,0.005555555555555508,0.5277777777777778,0.2216666666666666
jasper: cosine-to-brief (0 labels),solar_leo,200,0.11956521739130435,0.21739130434782608,0.005555555555555508,0.5277777777777778,0.2216666666666666
jasper: cosine-to-brief (0 labels),tech_forecasting,25,0.14012738853503184,0.25477707006369427,0.07878787878787874,0.6724805047919521,0.38503787878787876
jasper: cosine-to-brief (0 labels),tech_forecasting,50,0.14012738853503184,0.25477707006369427,0.07878787878787874,0.6724805047919521,0.38503787878787876
jasper: cosine-to-brief (0 labels),tech_forecasting,100,0.14012738853503184,0.25477707006369427,0.07878787878787874,0.6724805047919521,0.38503787878787876
jasper: cosine-to-brief (0 labels),tech_forecasting,200,0.14012738853503184,0.25477707006369427,0.07878787878787874,0.6724805047919521,0.38503787878787876
jasper: embedding,carbon_capture,25,0.1723084913454779,0.3351386523617199,0.1791666666666666,0.8139625064436324,0.47965686274509794
jasper: embedding,carbon_capture,50,0.18114218097088408,0.34217337737966613,0.20991902834008097,0.840644985440036,0.47692307692307695
jasper: embedding,carbon_capture,100,0.18971604486198498,0.3601161795755005,0.21463620981387474,0.8672332787487744,0.4783756345177663
jasper: embedding,carbon_capture,200,0.20432935626046067,0.3804472905232784,0.24553264604810993,0.8896226766758311,0.48773195876288666
jasper: embedding,cement_binders,25,0.14720077861344466,0.2836277331261927,0.15225035161744016,0.830605152343115,0.33270042194092825
jasper: embedding,cement_binders,50,0.14259475750406672,0.2806951982326388,0.16572327044025154,0.8498051328770703,0.3316037735849057
jasper: embedding,cement_binders,100,0.14125026027589022,0.2850032848357133,0.17880658436213984,0.8620639531993792,0.3323045267489712
jasper: embedding,cement_binders,200,0.13635033473645883,0.28300017788539145,0.1908602150537634,0.8710437279775475,0.3268817204301075
jasper: embedding,ner,25,0.1303039374423371,0.24795414995402806,0.059407665505226435,0.7324415173700113,0.27098722415795584
jasper: embedding,ner,50,0.12888412346440342,0.24923693324859655,0.06984732824427477,0.7542847287755908,0.2712213740458015
jasper: embedding,ner,100,0.13160873908025952,0.2562040561444012,0.07987421383647796,0.7855216003848356,0.2736477987421384
jasper: embedding,ner,200,0.13128007743985995,0.25777421524252836,0.09166666666666662,0.8035797975988591,0.26916666666666667
jasper: embedding,soil_microbiome,25,0.18183280196025392,0.3526982348459963,0.12610441767068267,0.6953392634376706,0.7002911646586346
jasper: embedding,soil_microbiome,50,0.2127740113611408,0.39997919924979936,0.14782844733984796,0.741617487340824,0.7007926167209553
jasper: embedding,soil_microbiome,100,0.24064411025032673,0.42093317857524404,0.17023346303501938,0.7614304730694602,0.7025810635538262
jasper: embedding,soil_microbiome,200,0.24194568460191795,0.4176551429367617,0.18014861995753714,0.763710106710908,0.6978768577494692
jasper: embedding,solar_leo,25,0.1151921555282696,0.226216098906299,0.011691542288557169,0.6181670800604998,0.22138308457711442
jasper: embedding,solar_leo,50,0.12300021945230323,0.24322468258190827,0.025698924731182755,0.7031718965022097,0.21921505376344083
jasper: embedding,solar_leo,100,0.12283711201265266,0.24373566126682059,0.03384615384615381,0.7244064240596598,0.21630769230769226
jasper: embedding,solar_leo,200,0.124865588488481,0.2464096116600674,0.049583333333333285,0.7606578006337942,0.22364583333333332
jasper: embedding,tech_forecasting,25,0.1428768094152772,0.2716144916309318,0.0833333333333333,0.7240954313111967,0.3842398884239888
jasper: embedding,tech_forecasting,50,0.1457368249688537,0.2919929133330385,0.10825545171339558,0.7788789038839583,0.38118380062305296
